13,155,0,29,29,4805.8,0.460507703,タイトルの文字数,ブックマーク数,標本,タイトルの文字数（標本内平均）,ブックマーク数（標本内平均）
12,20,,,,,,,,,,
5,1,,,,,,,,,,
77,126,,,,,,,,,,
67,1,,,,,,,,,,
52,12395,,,,,,,,,,
38,8,,,,,,,,,,
10,11,,,,,,,,,,
27,5,,,,,,,,,,
7,1,,,,,,,,,,
47,4,,,,,,,,,,
39,132,,,,,,,,,,
18,2,,,,,,,,,,
17,14,,,,,,,,,,
27,1,,,,,,,,,,
8,664,,,,,,,,,,
7,1,,,,,,,,,,
26,757,,,,,,,,,,
7,4,,,,,,,,,,
25,17,,,,,,,,,,
6,1,,,,,,,,,,
10,2,,,,,,,,,,
13,1,,,,,,,,,,
8,145,,,,,,,,,,
55,46,,,,,,,,,,
27,41566,,,,,,,,,,
20,2,,,,,,,,,,
5,3,,,,,,,,,,
6,1,,,,,,,,,,
14,2,,,,,,,,,,
18,260,,,,,,,,,,
52,2473,,,,,,,,,,
7,1,,,,,,,,,,
9,1548,,,,,,,,,,
40,11,,,,,,,,,,
28,134,,,,,,,,,,
12,1,,,,,,,,,,
16,8,,,,,,,,,,
6,8,,,,,,,,,,
37,9,,,,,,,,,,
13,1,,,,,,,,,,
6,311,,,,,,,,,,
31,4,,,,,,,,,,
9,1,,,,,,,,,,
45,295,,,,,,,,,,
20,3,,,,,,,,,,
8,2,,,,,,,,,,
12,2,,,,,,,,,,
21,3,,,,,,,,,,
95,1,,,,,,,,,,
18,85,,,,,,,,,,
62,363,,,,,,,,,,
46,31,,,,,,,,,,
15,3,,,,,,,,,,
62,3,,,,,,,,,,
12,3,,,,,,,,,,
40,36,,,,,,,,,,
9,4,,,,,,,,,,
38,113,,,,,,,,,,
8,4,,,,,,,,,,
18,1,,,,,,,,,,
8,9,,,,,,,,,,
61,423,,,,,,,,,,
48,513,,,,,,,,,,
14,2,,,,,,,,,,
11,4,,,,,,,,,,
11,46,,,,,,,,,,
57,3406,,,,,,,,,,
10,5,,,,,,,,,,
17,2,,,,,,,,,,
18,10,,,,,,,,,,
8,9,,,,,,,,,,
24,1,,,,,,,,,,
6,1,,,,,,,,,,
10,1,,,,,,,,,,
25,1,,,,,,,,,,
13,4,,,,,,,,,,
14,2,,,,,,,,,,
37,2,,,,,,,,,,
24,2,,,,,,,,,,
4,2,,,,,,,,,,
11,5,,,,,,,,,,
21,2,,,,,,,,,,
17,5,,,,,,,,,,
20,2,,,,,,,,,,
6,2,,,,,,,,,,
17,8,,,,,,,,,,
46,1,,,,,,,,,,
57,6,,,,,,,,,,
8,1,,,,,,,,,,
22,4,,,,,,,,,,
41,1,,,,,,,,,,
54,1,,,,,,,,,,
8,1,,,,,,,,,,
18,42,,,,,,,,,,
33,33,,,,,,,,,,
9,1,,,,,,,,,,
7,4,,,,,,,,,,
16,433,,,,,,,,,,
